movement_id,document_id,event_time,movement_type,sku,batch_id,location_id,quantity,order_line_id,receipt_id
M000085,D000085,2026-06-10 14:00:00,ISSUE,SKU016,B0016,L016,1,O00055,
M000086,D000086,2026-06-10 14:00:00,ISSUE,SKU017,B0017,L017,1,O00056,
M000087,D000087,2026-06-10 14:00:00,ISSUE,SKU001,B0001,L001,1,O00057,
M000088,D000088,2026-06-10 14:00:00,ISSUE,SKU003,B0003,L003,5,O00058,
M000089,D000089,2026-06-10 14:00:00,ISSUE,SKU012,B0012,L012,5,O00059,
M000090,D000090,2026-06-10 14:00:00,ISSUE,SKU015,B0015,L015,5,O00060,
M000091,D000091,2026-06-10 14:00:00,ISSUE,SKU017,B0017,L017,4,O00061,
M000092,D000092,2026-06-10 14:00:00,ISSUE,SKU018,B0018,L018,2,O00062,
M000093,D000093,2026-06-10 14:00:00,ISSUE,SKU019,B0019,L019,6,O00063,
M000094,D000094,2026-06-10 14:00:00,ISSUE,SKU025,B0025,L025,6,O00064,
M000095,D000095,2026-06-10 14:00:00,ISSUE,SKU027,B0027,L027,2,O00065,
M000096,D000096,2026-06-10 14:00:00,ISSUE,SKU028,B0028,L028,1,O00066,
M000097,D000097,2026-06-10 14:00:00,ISSUE,SKU001,B0001,L001,3,O00067,
M000098,D000098,2026-06-10 14:00:00,ISSUE,SKU004,B0004,L004,6,O00068,
M000099,D000099,2026-06-10 14:00:00,ISSUE,SKU011,B0011,L011,1,O00069,
M000100,D000100,2026-06-10 14:00:00,ISSUE,SKU016,B0016,L016,3,O00070,
M000101,D000101,2026-06-10 14:00:00,ISSUE,SKU019,B0019,L019,1,O00071,
M000102,D000102,2026-06-10 14:00:00,ISSUE,SKU020,B0020,L020,1,O00072,
M000103,D000103,2026-06-10 14:00:00,ISSUE,SKU021,B0021,L021,1,O00073,
M000104,D000104,2026-06-10 14:00:00,ISSUE,SKU024,B0024,L024,7,O00074,
M000105,D000105,2026-06-10 14:00:00,ISSUE,SKU001,B0001,L001,1,O00075,
M000106,D000106,2026-06-10 14:00:00,ISSUE,SKU005,B0005,L005,3,O00076,
M000107,D000107,2026-06-10 14:00:00,ISSUE,SKU008,B0008,L008,1,O00077,
M000108,D000108,2026-06-10 14:00:00,ISSUE,SKU009,B0009,L009,3,O00078,
M000109,D000109,2026-06-10 14:00:00,ISSUE,SKU013,B0013,L013,4,O00079,
M000110,D000110,2026-06-10 14:00:00,ISSUE,SKU014,B0014,L014,2,O00080,
M000111,D000111,2026-06-10 14:00:00,ISSUE,SKU018,B0018,L018,1,O00081,
M000112,D000112,2026-06-10 14:00:00,ISSUE,SKU020,B0020,L020,4,O00082,
M000113,D000113,2026-06-10 14:00:00,ISSUE,SKU022,B0022,L022,4,O00083,
M000114,D000114,2026-06-10 14:00:00,ISSUE,SKU024,B0024,L024,3,O00084,
M000115,D000115,2026-06-10 14:00:00,ISSUE,SKU028,B0028,L028,4,O00085,
M000116,D000116,2026-06-11 14:00:00,ISSUE,SKU002,B0002,L002,2,O00086,
M000117,D000117,2026-06-11 14:00:00,ISSUE,SKU003,B0003,L003,1,O00087,
M000118,D000118,2026-06-11 14:00:00,ISSUE,SKU004,B0004,L004,4,O00088,
M000119,D000119,2026-06-11 14:00:00,ISSUE,SKU005,B0005,L005,2,O00089,
M000120,D000120,2026-06-11 14:00:00,ISSUE,SKU007,B0007,L007,4,O00090,
M000121,D000121,2026-06-11 14:00:00,ISSUE,SKU016,B0016,L016,2,O00091,
M000122,D000122,2026-06-11 14:00:00,ISSUE,SKU018,B0018,L018,1,O00092,
M000123,D000123,2026-06-11 14:00:00,ISSUE,SKU019,B0019,L019,4,O00093,
M000124,D000124,2026-06-11 14:00:00,ISSUE,SKU020,B0020,L020,4,O00094,
M000125,D000125,2026-06-11 14:00:00,ISSUE,SKU023,B0023,L023,2,O00095,
M000126,D000126,2026-06-11 14:00:00,ISSUE,SKU001,B0001,L001,3,O00096,
M000127,D000127,2026-06-11 14:00:00,ISSUE,SKU003,B0003,L003,1,O00097,
M000128,D000128,2026-06-11 14:00:00,ISSUE,SKU004,B0004,L004,1,O00098,
M000129,D000129,2026-06-11 14:00:00,ISSUE,SKU014,B0014,L014,1,O00099,
M000130,D000130,2026-06-11 14:00:00,ISSUE,SKU019,B0019,L019,3,O00100,
M000131,D000131,2026-06-11 14:00:00,ISSUE,SKU022,B0022,L022,3,O00101,
M000132,D000132,2026-06-11 14:00:00,ISSUE,SKU024,B0024,L024,2,O00102,
M000133,D000133,2026-06-11 14:00:00,ISSUE,SKU025,B0025,L025,2,O00103,
M000134,D000134,2026-06-11 14:00:00,ISSUE,SKU026,B0026,L026,2,O00104,
M000135,D000135,2026-06-11 14:00:00,ISSUE,SKU001,B0001,L001,1,O00105,
M000136,D000136,2026-06-11 14:00:00,ISSUE,SKU002,B0002,L002,4,O00106,
M000137,D000137,2026-06-11 14:00:00,ISSUE,SKU003,B0003,L003,6,O00107,
M000138,D000138,2026-06-11 14:00:00,ISSUE,SKU004,B0004,L004,2,O00108,
M000139,D000139,2026-06-11 14:00:00,ISSUE,SKU009,B0009,L009,4,O00109,
M000140,D000140,2026-06-11 14:00:00,ISSUE,SKU011,B0011,L011,2,O00110,
M000141,D000141,2026-06-11 14:00:00,ISSUE,SKU014,B0014,L014,1,O00111,
M000142,D000142,2026-06-11 14:00:00,ISSUE,SKU021,B0021,L021,2,O00112,
M000143,D000143,2026-06-11 14:00:00,ISSUE,SKU022,B0022,L022,4,O00113,
M000144,D000144,2026-06-11 14:00:00,ISSUE,SKU023,B0023,L023,4,O00114,
M000145,D000145,2026-06-11 14:00:00,ISSUE,SKU025,B0025,L025,4,O00115,
M000146,D000146,2026-06-11 14:00:00,ISSUE,SKU027,B0027,L027,6,O00116,
M000147,D000147,2026-06-11 14:00:00,ISSUE,SKU028,B0028,L028,1,O00117,
M000148,D000148,2026-06-11 14:00:00,ISSUE,SKU001,B0001,L001,3,O00118,
M000149,D000149,2026-06-11 14:00:00,ISSUE,SKU002,B0002,L002,3,O00119,
M000150,D000150,2026-06-11 14:00:00,ISSUE,SKU004,B0004,L004,3,O00120,
M000151,D000151,2026-06-11 14:00:00,ISSUE,SKU005,B0005,L005,7,O00121,
M000152,D000152,2026-06-11 14:00:00,ISSUE,SKU006,B0006,L006,3,O00122,
M000153,D000153,2026-06-11 14:00:00,ISSUE,SKU008,B0008,L008,3,O00123,
M000154,D000154,2026-06-11 14:00:00,ISSUE,SKU009,B0009,L009,3,O00124,
M000155,D000155,2026-06-11 14:00:00,ISSUE,SKU011,B0011,L011,4,O00125,
M000156,D000156,2026-06-11 14:00:00,ISSUE,SKU014,B0014,L014,1,O00126,
M000157,D000157,2026-06-11 14:00:00,ISSUE,SKU016,B0016,L016,6,O00127,
M000158,D000158,2026-06-11 14:00:00,ISSUE,SKU020,B0020,L020,1,O00128,
M000159,D000159,2026-06-11 14:00:00,ISSUE,SKU021,B0021,L021,6,O00129,
M000160,D000160,2026-06-11 14:00:00,ISSUE,SKU022,B0022,L022,7,O00130,
M000161,D000161,2026-06-11 14:00:00,ISSUE,SKU025,B0025,L025,7,O00131,
M000162,D000162,2026-06-11 14:00:00,ISSUE,SKU026,B0026,L026,3,O00132,
M000163,D000163,2026-06-11 14:00:00,ISSUE,SKU028,B0028,L028,7,O00133,
M000164,D000164,2026-06-11 14:00:00,ISSUE,SKU001,B0001,L001,1,O00134,
M000165,D000165,2026-06-11 14:00:00,ISSUE,SKU003,B0003,L003,4,O00135,
M000166,D000166,2026-06-11 14:00:00,ISSUE,SKU004,B0004,L004,3,O00136,
M000167,D000167,2026-06-11 14:00:00,ISSUE,SKU007,B0007,L007,3,O00137,
M000168,D000168,2026-06-11 14:00:00,ISSUE,SKU012,B0012,L012,4,O00138,
M000169,D000169,2026-06-11 14:00:00,ISSUE,SKU013,B0013,L013,2,O00139,
M000170,D000170,2026-06-11 14:00:00,ISSUE,SKU017,B0017,L017,1,O00140,
M000171,D000171,2026-06-11 14:00:00,ISSUE,SKU019,B0019,L019,4,O00141,
M000172,D000172,2026-06-11 14:00:00,ISSUE,SKU021,B0021,L021,4,O00142,
M000173,D000173,2026-06-11 14:00:00,ISSUE,SKU027,B0027,L027,1,O00143,
M000174,D000174,2026-06-12 14:00:00,ISSUE,SKU001,B0001,L001,1,O00144,
M000175,D000175,2026-06-12 14:00:00,ISSUE,SKU003,B0003,L003,2,O00145,
M000176,D000176,2026-06-12 14:00:00,ISSUE,SKU004,B0004,L004,2,O00146,
M000177,D000177,2026-06-12 14:00:00,ISSUE,SKU006,B0006,L006,1,O00147,
M000178,D000178,2026-06-12 14:00:00,ISSUE,SKU011,B0011,L011,2,O00148,
M000179,D000179,2026-06-12 14:00:00,ISSUE,SKU021,B0021,L021,2,O00149,
M000180,D000180,2026-06-12 14:00:00,ISSUE,SKU026,B0026,L026,3,O00150,
M000181,D000181,2026-06-12 14:00:00,ISSUE,SKU027,B0027,L027,1,O00151,
M000182,D000182,2026-06-12 14:00:00,ISSUE,SKU001,B0001,L001,1,O00152,
M000183,D000183,2026-06-12 14:00:00,ISSUE,SKU002,B0002,L002,2,O00153,
M000184,D000184,2026-06-12 14:00:00,ISSUE,SKU003,B0003,L003,4,O00154,
M000185,D000185,2026-06-12 14:00:00,ISSUE,SKU005,B0005,L005,4,O00155,
M000186,D000186,2026-06-12 14:00:00,ISSUE,SKU006,B0006,L006,3,O00156,
M000187,D000187,2026-06-12 14:00:00,ISSUE,SKU016,B0016,L016,4,O00157,
M000188,D000188,2026-06-12 14:00:00,ISSUE,SKU017,B0017,L017,4,O00158,
M000189,D000189,2026-06-12 14:00:00,ISSUE,SKU020,B0020,L020,1,O00159,
M000190,D000190,2026-06-12 14:00:00,ISSUE,SKU022,B0022,L022,1,O00160,
M000191,D000191,2026-06-12 14:00:00,ISSUE,SKU028,B0028,L028,2,O00161,
M000192,D000192,2026-06-12 14:00:00,ISSUE,SKU001,B0001,L001,6,O00162,
M000193,D000193,2026-06-12 14:00:00,ISSUE,SKU006,B0006,L006,6,O00163,
M000194,D000194,2026-06-12 14:00:00,ISSUE,SKU016,B0016,L016,4,O00164,
M000195,D000195,2026-06-12 14:00:00,ISSUE,SKU020,B0020,L020,1,O00165,
M000196,D000196,2026-06-12 14:00:00,ISSUE,SKU022,B0022,L022,1,O00166,
M000197,D000197,2026-06-12 14:00:00,ISSUE,SKU001,B0001,L001,3,O00167,
M000198,D000198,2026-06-12 14:00:00,ISSUE,SKU002,B0002,L002,4,O00168,
M000199,D000199,2026-06-12 14:00:00,ISSUE,SKU003,B0003,L003,1,O00169,
M000200,D000200,2026-06-12 14:00:00,ISSUE,SKU004,B0004,L004,3,O00170,
M000201,D000201,2026-06-12 14:00:00,ISSUE,SKU005,B0005,L005,6,O00171,
M000202,D000202,2026-06-12 14:00:00,ISSUE,SKU008,B0008,L008,7,O00172,
M000203,D000203,2026-06-12 14:00:00,ISSUE,SKU011,B0011,L011,4,O00173,
M000204,D000204,2026-06-12 14:00:00,ISSUE,SKU016,B0016,L016,7,O00174,
M000205,D000205,2026-06-12 14:00:00,ISSUE,SKU021,B0021,L021,1,O00175,
M000206,D000206,2026-06-12 14:00:00,ISSUE,SKU022,B0022,L022,6,O00176,
M000207,D000207,2026-06-12 14:00:00,ISSUE,SKU024,B0024,L024,1,O00177,
M000208,D000208,2026-06-12 14:00:00,ISSUE,SKU026,B0026,L026,3,O00178,
M000209,D000209,2026-06-12 14:00:00,ISSUE,SKU027,B0027,L027,1,O00179,
M000210,D000210,2026-06-12 14:00:00,ISSUE,SKU001,B0001,L001,4,O00180,
M000211,D000211,2026-06-12 14:00:00,ISSUE,SKU003,B0003,L003,3,O00181,
M000212,D000212,2026-06-12 14:00:00,ISSUE,SKU006,B0006,L006,1,O00182,
M000213,D000213,2026-06-12 14:00:00,ISSUE,SKU012,B0012,L012,1,O00183,
M000214,D000214,2026-06-12 14:00:00,ISSUE,SKU016,B0016,L016,3,O00184,
M000215,D000215,2026-06-12 14:00:00,ISSUE,SKU017,B0017,L017,4,O00185,
M000216,D000216,2026-06-12 14:00:00,ISSUE,SKU021,B0021,L021,4,O00186,
M000217,D000217,2026-06-12 14:00:00,ISSUE,SKU022,B0022,L022,4,O00187,
M000218,D000218,2026-06-12 14:00:00,ISSUE,SKU026,B0026,L026,1,O00188,
M000219,D000219,2026-06-12 14:00:00,ISSUE,SKU027,B0027,L027,3,O00189,
M000220,D000220,2026-06-13 14:00:00,ISSUE,SKU001,B0001,L001,1,O00190,
M000221,D000221,2026-06-13 14:00:00,ISSUE,SKU002,B0002,L002,2,O00191,
M000222,D000222,2026-06-13 14:00:00,ISSUE,SKU003,B0003,L003,5,O00192,
M000223,D000223,2026-06-13 14:00:00,ISSUE,SKU004,B0004,L004,1,O00193,
M000224,D000224,2026-06-13 14:00:00,ISSUE,SKU008,B0008,L008,5,O00194,
M000225,D000225,2026-06-13 14:00:00,ISSUE,SKU009,B0009,L009,2,O00195,
M000226,D000226,2026-06-13 14:00:00,ISSUE,SKU011,B0011,L011,4,O00196,
M000227,D000227,2026-06-13 14:00:00,ISSUE,SKU014,B0014,L014,1,O00197,
M000228,D000228,2026-06-13 14:00:00,ISSUE,SKU016,B0016,L016,5,O00198,
M000229,D000229,2026-06-13 14:00:00,ISSUE,SKU026,B0026,L026,1,O00199,
M000230,D000230,2026-06-13 14:00:00,ISSUE,SKU027,B0027,L027,1,O00200,
M000231,D000231,2026-06-13 14:00:00,ISSUE,SKU001,B0001,L001,4,O00201,
M000232,D000232,2026-06-13 14:00:00,ISSUE,SKU002,B0002,L002,1,O00202,
M000233,D000233,2026-06-13 14:00:00,ISSUE,SKU004,B0004,L004,3,O00203,
M000234,D000234,2026-06-13 14:00:00,ISSUE,SKU008,B0008,L008,4,O00204,
M000235,D000235,2026-06-13 14:00:00,ISSUE,SKU012,B0012,L012,5,O00205,
M000236,D000236,2026-06-13 14:00:00,ISSUE,SKU017,B0017,L017,4,O00206,
M000237,D000237,2026-06-13 14:00:00,ISSUE,SKU018,B0018,L018,3,O00207,
M000238,D000238,2026-06-13 14:00:00,ISSUE,SKU025,B0025,L025,5,O00208,
M000239,D000239,2026-06-13 14:00:00,ISSUE,SKU028,B0028,L028,5,O00209,
M000240,D000240,2026-06-13 14:00:00,ISSUE,SKU004,B0004,L004,3,O00210,
M000241,D000241,2026-06-13 14:00:00,ISSUE,SKU005,B0005,L005,8,O00211,
M000242,D000242,2026-06-13 14:00:00,ISSUE,SKU006,B0006,L006,6,O00212,
M000243,D000243,2026-06-13 14:00:00,ISSUE,SKU007,B0007,L007,2,O00213,
M000244,D000244,2026-06-13 14:00:00,ISSUE,SKU017,B0017,L017,3,O00214,
M000245,D000245,2026-06-13 14:00:00,ISSUE,SKU018,B0018,L018,5,O00215,
M000246,D000246,2026-06-13 14:00:00,ISSUE,SKU024,B0024,L024,2,O00216,
M000247,D000247,2026-06-13 14:00:00,ISSUE,SKU026,B0026,L026,8,O00217,
M000248,D000248,2026-06-13 14:00:00,ISSUE,SKU027,B0027,L027,3,O00218,
M000249,D000249,2026-06-13 14:00:00,ISSUE,SKU004,B0004,L004,9,O00219,
M000250,D000250,2026-06-13 14:00:00,ISSUE,SKU005,B0005,L005,9,O00220,
M000251,D000251,2026-06-13 14:00:00,ISSUE,SKU006,B0006,L006,7,O00221,
M000252,D000252,2026-06-13 14:00:00,ISSUE,SKU015,B0015,L015,4,O00222,
M000253,D000253,2026-06-13 14:00:00,ISSUE,SKU020,B0020,L020,9,O00223,
M000254,D000254,2026-06-13 14:00:00,ISSUE,SKU022,B0022,L022,2,O00224,
M000255,D000255,2026-06-13 14:00:00,ISSUE,SKU023,B0023,L023,9,O00225,
M000256,D000256,2026-06-13 14:00:00,ISSUE,SKU024,B0024,L024,4,O00226,
M000257,D000257,2026-06-13 14:00:00,ISSUE,SKU025,B0025,L025,5,O00227,
M000258,D000258,2026-06-13 14:00:00,ISSUE,SKU027,B0027,L027,4,O00228,
M000259,D000259,2026-06-13 14:00:00,ISSUE,SKU001,B0001,L001,5,O00229,
M000260,D000260,2026-06-13 14:00:00,ISSUE,SKU003,B0003,L003,5,O00230,
M000261,D000261,2026-06-13 14:00:00,ISSUE,SKU004,B0004,L004,5,O00231,
M000262,D000262,2026-06-13 14:00:00,ISSUE,SKU005,B0005,L005,6,O00232,
M000263,D000263,2026-06-13 14:00:00,ISSUE,SKU013,B0013,L013,2,O00233,
M000264,D000264,2026-06-13 14:00:00,ISSUE,SKU020,B0020,L020,6,O00234,
M000265,D000265,2026-06-13 14:00:00,ISSUE,SKU024,B0024,L024,4,O00235,
M000266,D000266,2026-06-13 14:00:00,ISSUE,SKU027,B0027,L027,1,O00236,
M000267,D000267,2026-06-13 14:00:00,ISSUE,SKU028,B0028,L028,6,O00237,
M000268,D000268,2026-06-14 14:00:00,ISSUE,SKU001,B0001,L001,4,O00238,
M000269,D000269,2026-06-14 14:00:00,ISSUE,SKU002,B0002,L002,3,O00239,
M000270,D000270,2026-06-14 14:00:00,ISSUE,SKU003,B0003,L003,5,O00240,
M000271,D000271,2026-06-14 14:00:00,ISSUE,SKU004,B0004,L004,1,O00241,
M000272,D000272,2026-06-14 14:00:00,ISSUE,SKU005,B0005,L005,5,O00242,
M000273,D000273,2026-06-14 14:00:00,ISSUE,SKU009,B0009,L009,3,O00243,
M000274,D000274,2026-06-14 14:00:00,ISSUE,SKU012,B0012,L012,4,O00244,
M000275,D000275,2026-06-14 14:00:00,ISSUE,SKU013,B0013,L013,2,O00245,
M000276,D000276,2026-06-14 14:00:00,ISSUE,SKU015,B0015,L015,2,O00246,
M000277,D000277,2026-06-14 14:00:00,ISSUE,SKU017,B0017,L017,2,O00247,
M000278,D000278,2026-06-14 14:00:00,ISSUE,SKU023,B0023,L023,4,O00248,
M000279,D000279,2026-06-14 14:00:00,ISSUE,SKU025,B0025,L025,2,O00249,
M000280,D000280,2026-06-14 14:00:00,ISSUE,SKU002,B0002,L002,3,O00250,
M000281,D000281,2026-06-14 14:00:00,ISSUE,SKU003,B0003,L003,5,O00251,
M000282,D000282,2026-06-14 14:00:00,ISSUE,SKU005,B0005,L005,4,O00252,
M000283,D000283,2026-06-14 14:00:00,ISSUE,SKU007,B0007,L007,4,O00253,
M000284,D000284,2026-06-14 14:00:00,ISSUE,SKU008,B0008,L008,5,O00254,
M000285,D000285,2026-06-14 14:00:00,ISSUE,SKU009,B0009,L009,1,O00255,
M000286,D000286,2026-06-14 14:00:00,ISSUE,SKU011,B0011,L011,3,O00256,
M000287,D000287,2026-06-14 14:00:00,ISSUE,SKU001,B0001,L001,2,O00257,
M000288,D000288,2026-06-14 14:00:00,ISSUE,SKU003,B0003,L003,3,O00258,
M000289,D000289,2026-06-14 14:00:00,ISSUE,SKU006,B0006,L006,6,O00259,
M000290,D000290,2026-06-14 14:00:00,ISSUE,SKU009,B0009,L009,6,O00260,
M000291,D000291,2026-06-14 14:00:00,ISSUE,SKU012,B0012,L012,3,O00261,
M000292,D000292,2026-06-14 14:00:00,ISSUE,SKU017,B0017,L017,3,O00262,
M000293,D000293,2026-06-14 14:00:00,ISSUE,SKU021,B0021,L021,5,O00263,
M000294,D000294,2026-06-14 14:00:00,ISSUE,SKU001,B0001,L001,2,O00264,
M000295,D000295,2026-06-14 14:00:00,ISSUE,SKU002,B0002,L002,7,O00265,
M000296,D000296,2026-06-14 14:00:00,ISSUE,SKU003,B0003,L003,7,O00266,
M000297,D000297,2026-06-14 14:00:00,ISSUE,SKU006,B0006,L006,4,O00267,
M000298,D000298,2026-06-14 14:00:00,ISSUE,SKU021,B0021,L021,4,O00268,
M000299,D000299,2026-06-14 14:00:00,ISSUE,SKU001,B0001,L001,1,O00269,
M000300,D000300,2026-06-14 14:00:00,ISSUE,SKU002,B0002,L002,1,O00270,
M000301,D000301,2026-06-14 14:00:00,ISSUE,SKU003,B0003,L003,1,O00271,
M000302,D000302,2026-06-14 14:00:00,ISSUE,SKU004,B0004,L004,6,O00272,
M000303,D000303,2026-06-14 14:00:00,ISSUE,SKU005,B0005,L005,4,O00273,
M000304,D000304,2026-06-14 14:00:00,ISSUE,SKU017,B0017,L017,4,O00274,
