order_line_id,order_id,order_time,store_id,sku,requested_qty,promised_ship_time,actual_ship_time
O00025,ORD000S4,2026-06-09 10:00:00,S4,SKU016,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00026,ORD000S4,2026-06-09 10:00:00,S4,SKU019,6,2026-06-09 18:00:00,2026-06-09 14:00:00
O00027,ORD000S5,2026-06-09 10:00:00,S5,SKU003,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00028,ORD000S5,2026-06-09 10:00:00,S5,SKU004,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00029,ORD000S5,2026-06-09 10:00:00,S5,SKU005,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00030,ORD000S5,2026-06-09 10:00:00,S5,SKU006,3,2026-06-09 18:00:00,2026-06-09 14:00:00
O00031,ORD000S5,2026-06-09 10:00:00,S5,SKU011,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00032,ORD000S5,2026-06-09 10:00:00,S5,SKU012,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00033,ORD000S5,2026-06-09 10:00:00,S5,SKU014,1,2026-06-09 18:00:00,2026-06-09 14:00:00
O00034,ORD000S5,2026-06-09 10:00:00,S5,SKU016,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00035,ORD000S5,2026-06-09 10:00:00,S5,SKU023,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00036,ORD000S5,2026-06-09 10:00:00,S5,SKU024,2,2026-06-09 18:00:00,2026-06-09 14:00:00
O00037,ORD000S5,2026-06-09 10:00:00,S5,SKU025,4,2026-06-09 18:00:00,2026-06-09 14:00:00
O00038,ORD000S5,2026-06-09 10:00:00,S5,SKU028,3,2026-06-09 18:00:00,2026-06-09 14:00:00
O00039,ORD001S1,2026-06-10 10:00:00,S1,SKU001,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00040,ORD001S1,2026-06-10 10:00:00,S1,SKU003,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00041,ORD001S1,2026-06-10 10:00:00,S1,SKU004,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00042,ORD001S1,2026-06-10 10:00:00,S1,SKU006,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00043,ORD001S1,2026-06-10 10:00:00,S1,SKU014,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00044,ORD001S1,2026-06-10 10:00:00,S1,SKU015,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00045,ORD001S1,2026-06-10 10:00:00,S1,SKU019,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00046,ORD001S1,2026-06-10 10:00:00,S1,SKU022,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00047,ORD001S1,2026-06-10 10:00:00,S1,SKU023,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00048,ORD001S1,2026-06-10 10:00:00,S1,SKU025,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00049,ORD001S1,2026-06-10 10:00:00,S1,SKU028,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00050,ORD001S2,2026-06-10 10:00:00,S2,SKU001,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00051,ORD001S2,2026-06-10 10:00:00,S2,SKU002,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00052,ORD001S2,2026-06-10 10:00:00,S2,SKU003,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00053,ORD001S2,2026-06-10 10:00:00,S2,SKU006,5,2026-06-10 18:00:00,2026-06-10 14:00:00
O00054,ORD001S2,2026-06-10 10:00:00,S2,SKU011,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00055,ORD001S2,2026-06-10 10:00:00,S2,SKU016,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00056,ORD001S2,2026-06-10 10:00:00,S2,SKU017,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00057,ORD001S3,2026-06-10 10:00:00,S3,SKU001,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00058,ORD001S3,2026-06-10 10:00:00,S3,SKU003,5,2026-06-10 18:00:00,2026-06-10 14:00:00
O00059,ORD001S3,2026-06-10 10:00:00,S3,SKU012,5,2026-06-10 18:00:00,2026-06-10 14:00:00
O00060,ORD001S3,2026-06-10 10:00:00,S3,SKU015,5,2026-06-10 18:00:00,2026-06-10 14:00:00
O00061,ORD001S3,2026-06-10 10:00:00,S3,SKU017,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00062,ORD001S3,2026-06-10 10:00:00,S3,SKU018,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00063,ORD001S3,2026-06-10 10:00:00,S3,SKU019,6,2026-06-10 18:00:00,2026-06-10 14:00:00
O00064,ORD001S3,2026-06-10 10:00:00,S3,SKU025,6,2026-06-10 18:00:00,2026-06-10 14:00:00
O00065,ORD001S3,2026-06-10 10:00:00,S3,SKU027,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00066,ORD001S3,2026-06-10 10:00:00,S3,SKU028,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00067,ORD001S4,2026-06-10 10:00:00,S4,SKU001,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00068,ORD001S4,2026-06-10 10:00:00,S4,SKU004,6,2026-06-10 18:00:00,2026-06-10 14:00:00
O00069,ORD001S4,2026-06-10 10:00:00,S4,SKU011,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00070,ORD001S4,2026-06-10 10:00:00,S4,SKU016,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00071,ORD001S4,2026-06-10 10:00:00,S4,SKU019,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00072,ORD001S4,2026-06-10 10:00:00,S4,SKU020,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00073,ORD001S4,2026-06-10 10:00:00,S4,SKU021,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00074,ORD001S4,2026-06-10 10:00:00,S4,SKU024,7,2026-06-10 18:00:00,2026-06-10 14:00:00
O00075,ORD001S5,2026-06-10 10:00:00,S5,SKU001,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00076,ORD001S5,2026-06-10 10:00:00,S5,SKU005,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00077,ORD001S5,2026-06-10 10:00:00,S5,SKU008,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00078,ORD001S5,2026-06-10 10:00:00,S5,SKU009,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00079,ORD001S5,2026-06-10 10:00:00,S5,SKU013,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00080,ORD001S5,2026-06-10 10:00:00,S5,SKU014,2,2026-06-10 18:00:00,2026-06-10 14:00:00
O00081,ORD001S5,2026-06-10 10:00:00,S5,SKU018,1,2026-06-10 18:00:00,2026-06-10 14:00:00
O00082,ORD001S5,2026-06-10 10:00:00,S5,SKU020,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00083,ORD001S5,2026-06-10 10:00:00,S5,SKU022,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00084,ORD001S5,2026-06-10 10:00:00,S5,SKU024,3,2026-06-10 18:00:00,2026-06-10 14:00:00
O00085,ORD001S5,2026-06-10 10:00:00,S5,SKU028,4,2026-06-10 18:00:00,2026-06-10 14:00:00
O00086,ORD002S1,2026-06-11 10:00:00,S1,SKU002,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00087,ORD002S1,2026-06-11 10:00:00,S1,SKU003,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00088,ORD002S1,2026-06-11 10:00:00,S1,SKU004,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00089,ORD002S1,2026-06-11 10:00:00,S1,SKU005,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00090,ORD002S1,2026-06-11 10:00:00,S1,SKU007,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00091,ORD002S1,2026-06-11 10:00:00,S1,SKU016,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00092,ORD002S1,2026-06-11 10:00:00,S1,SKU018,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00093,ORD002S1,2026-06-11 10:00:00,S1,SKU019,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00094,ORD002S1,2026-06-11 10:00:00,S1,SKU020,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00095,ORD002S1,2026-06-11 10:00:00,S1,SKU023,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00096,ORD002S2,2026-06-11 10:00:00,S2,SKU001,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00097,ORD002S2,2026-06-11 10:00:00,S2,SKU003,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00098,ORD002S2,2026-06-11 10:00:00,S2,SKU004,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00099,ORD002S2,2026-06-11 10:00:00,S2,SKU014,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00100,ORD002S2,2026-06-11 10:00:00,S2,SKU019,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00101,ORD002S2,2026-06-11 10:00:00,S2,SKU022,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00102,ORD002S2,2026-06-11 10:00:00,S2,SKU024,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00103,ORD002S2,2026-06-11 10:00:00,S2,SKU025,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00104,ORD002S2,2026-06-11 10:00:00,S2,SKU026,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00105,ORD002S3,2026-06-11 10:00:00,S3,SKU001,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00106,ORD002S3,2026-06-11 10:00:00,S3,SKU002,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00107,ORD002S3,2026-06-11 10:00:00,S3,SKU003,6,2026-06-11 18:00:00,2026-06-11 14:00:00
O00108,ORD002S3,2026-06-11 10:00:00,S3,SKU004,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00109,ORD002S3,2026-06-11 10:00:00,S3,SKU009,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00110,ORD002S3,2026-06-11 10:00:00,S3,SKU011,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00111,ORD002S3,2026-06-11 10:00:00,S3,SKU014,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00112,ORD002S3,2026-06-11 10:00:00,S3,SKU021,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00113,ORD002S3,2026-06-11 10:00:00,S3,SKU022,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00114,ORD002S3,2026-06-11 10:00:00,S3,SKU023,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00115,ORD002S3,2026-06-11 10:00:00,S3,SKU025,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00116,ORD002S3,2026-06-11 10:00:00,S3,SKU027,6,2026-06-11 18:00:00,2026-06-11 14:00:00
O00117,ORD002S3,2026-06-11 10:00:00,S3,SKU028,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00118,ORD002S4,2026-06-11 10:00:00,S4,SKU001,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00119,ORD002S4,2026-06-11 10:00:00,S4,SKU002,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00120,ORD002S4,2026-06-11 10:00:00,S4,SKU004,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00121,ORD002S4,2026-06-11 10:00:00,S4,SKU005,7,2026-06-11 18:00:00,2026-06-11 14:00:00
O00122,ORD002S4,2026-06-11 10:00:00,S4,SKU006,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00123,ORD002S4,2026-06-11 10:00:00,S4,SKU008,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00124,ORD002S4,2026-06-11 10:00:00,S4,SKU009,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00125,ORD002S4,2026-06-11 10:00:00,S4,SKU011,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00126,ORD002S4,2026-06-11 10:00:00,S4,SKU014,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00127,ORD002S4,2026-06-11 10:00:00,S4,SKU016,6,2026-06-11 18:00:00,2026-06-11 14:00:00
O00128,ORD002S4,2026-06-11 10:00:00,S4,SKU020,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00129,ORD002S4,2026-06-11 10:00:00,S4,SKU021,6,2026-06-11 18:00:00,2026-06-11 14:00:00
O00130,ORD002S4,2026-06-11 10:00:00,S4,SKU022,7,2026-06-11 18:00:00,2026-06-11 14:00:00
O00131,ORD002S4,2026-06-11 10:00:00,S4,SKU025,7,2026-06-11 18:00:00,2026-06-11 14:00:00
O00132,ORD002S4,2026-06-11 10:00:00,S4,SKU026,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00133,ORD002S4,2026-06-11 10:00:00,S4,SKU028,7,2026-06-11 18:00:00,2026-06-11 14:00:00
O00134,ORD002S5,2026-06-11 10:00:00,S5,SKU001,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00135,ORD002S5,2026-06-11 10:00:00,S5,SKU003,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00136,ORD002S5,2026-06-11 10:00:00,S5,SKU004,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00137,ORD002S5,2026-06-11 10:00:00,S5,SKU007,3,2026-06-11 18:00:00,2026-06-11 14:00:00
O00138,ORD002S5,2026-06-11 10:00:00,S5,SKU012,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00139,ORD002S5,2026-06-11 10:00:00,S5,SKU013,2,2026-06-11 18:00:00,2026-06-11 14:00:00
O00140,ORD002S5,2026-06-11 10:00:00,S5,SKU017,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00141,ORD002S5,2026-06-11 10:00:00,S5,SKU019,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00142,ORD002S5,2026-06-11 10:00:00,S5,SKU021,4,2026-06-11 18:00:00,2026-06-11 14:00:00
O00143,ORD002S5,2026-06-11 10:00:00,S5,SKU027,1,2026-06-11 18:00:00,2026-06-11 14:00:00
O00144,ORD003S1,2026-06-12 10:00:00,S1,SKU001,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00145,ORD003S1,2026-06-12 10:00:00,S1,SKU003,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00146,ORD003S1,2026-06-12 10:00:00,S1,SKU004,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00147,ORD003S1,2026-06-12 10:00:00,S1,SKU006,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00148,ORD003S1,2026-06-12 10:00:00,S1,SKU011,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00149,ORD003S1,2026-06-12 10:00:00,S1,SKU021,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00150,ORD003S1,2026-06-12 10:00:00,S1,SKU026,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00151,ORD003S1,2026-06-12 10:00:00,S1,SKU027,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00152,ORD003S2,2026-06-12 10:00:00,S2,SKU001,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00153,ORD003S2,2026-06-12 10:00:00,S2,SKU002,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00154,ORD003S2,2026-06-12 10:00:00,S2,SKU003,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00155,ORD003S2,2026-06-12 10:00:00,S2,SKU005,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00156,ORD003S2,2026-06-12 10:00:00,S2,SKU006,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00157,ORD003S2,2026-06-12 10:00:00,S2,SKU016,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00158,ORD003S2,2026-06-12 10:00:00,S2,SKU017,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00159,ORD003S2,2026-06-12 10:00:00,S2,SKU020,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00160,ORD003S2,2026-06-12 10:00:00,S2,SKU022,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00161,ORD003S2,2026-06-12 10:00:00,S2,SKU028,2,2026-06-12 18:00:00,2026-06-12 14:00:00
O00162,ORD003S3,2026-06-12 10:00:00,S3,SKU001,6,2026-06-12 18:00:00,2026-06-12 14:00:00
O00163,ORD003S3,2026-06-12 10:00:00,S3,SKU006,6,2026-06-12 18:00:00,2026-06-12 14:00:00
O00164,ORD003S3,2026-06-12 10:00:00,S3,SKU016,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00165,ORD003S3,2026-06-12 10:00:00,S3,SKU020,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00166,ORD003S3,2026-06-12 10:00:00,S3,SKU022,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00167,ORD003S4,2026-06-12 10:00:00,S4,SKU001,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00168,ORD003S4,2026-06-12 10:00:00,S4,SKU002,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00169,ORD003S4,2026-06-12 10:00:00,S4,SKU003,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00170,ORD003S4,2026-06-12 10:00:00,S4,SKU004,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00171,ORD003S4,2026-06-12 10:00:00,S4,SKU005,6,2026-06-12 18:00:00,2026-06-12 14:00:00
O00172,ORD003S4,2026-06-12 10:00:00,S4,SKU008,7,2026-06-12 18:00:00,2026-06-12 14:00:00
O00173,ORD003S4,2026-06-12 10:00:00,S4,SKU011,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00174,ORD003S4,2026-06-12 10:00:00,S4,SKU016,7,2026-06-12 18:00:00,2026-06-12 14:00:00
O00175,ORD003S4,2026-06-12 10:00:00,S4,SKU021,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00176,ORD003S4,2026-06-12 10:00:00,S4,SKU022,6,2026-06-12 18:00:00,2026-06-12 14:00:00
O00177,ORD003S4,2026-06-12 10:00:00,S4,SKU024,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00178,ORD003S4,2026-06-12 10:00:00,S4,SKU026,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00179,ORD003S4,2026-06-12 10:00:00,S4,SKU027,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00180,ORD003S5,2026-06-12 10:00:00,S5,SKU001,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00181,ORD003S5,2026-06-12 10:00:00,S5,SKU003,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00182,ORD003S5,2026-06-12 10:00:00,S5,SKU006,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00183,ORD003S5,2026-06-12 10:00:00,S5,SKU012,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00184,ORD003S5,2026-06-12 10:00:00,S5,SKU016,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00185,ORD003S5,2026-06-12 10:00:00,S5,SKU017,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00186,ORD003S5,2026-06-12 10:00:00,S5,SKU021,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00187,ORD003S5,2026-06-12 10:00:00,S5,SKU022,4,2026-06-12 18:00:00,2026-06-12 14:00:00
O00188,ORD003S5,2026-06-12 10:00:00,S5,SKU026,1,2026-06-12 18:00:00,2026-06-12 14:00:00
O00189,ORD003S5,2026-06-12 10:00:00,S5,SKU027,3,2026-06-12 18:00:00,2026-06-12 14:00:00
O00190,ORD004S1,2026-06-13 10:00:00,S1,SKU001,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00191,ORD004S1,2026-06-13 10:00:00,S1,SKU002,2,2026-06-13 18:00:00,2026-06-13 14:00:00
O00192,ORD004S1,2026-06-13 10:00:00,S1,SKU003,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00193,ORD004S1,2026-06-13 10:00:00,S1,SKU004,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00194,ORD004S1,2026-06-13 10:00:00,S1,SKU008,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00195,ORD004S1,2026-06-13 10:00:00,S1,SKU009,2,2026-06-13 18:00:00,2026-06-13 14:00:00
O00196,ORD004S1,2026-06-13 10:00:00,S1,SKU011,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00197,ORD004S1,2026-06-13 10:00:00,S1,SKU014,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00198,ORD004S1,2026-06-13 10:00:00,S1,SKU016,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00199,ORD004S1,2026-06-13 10:00:00,S1,SKU026,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00200,ORD004S1,2026-06-13 10:00:00,S1,SKU027,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00201,ORD004S2,2026-06-13 10:00:00,S2,SKU001,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00202,ORD004S2,2026-06-13 10:00:00,S2,SKU002,1,2026-06-13 18:00:00,2026-06-13 14:00:00
O00203,ORD004S2,2026-06-13 10:00:00,S2,SKU004,3,2026-06-13 18:00:00,2026-06-13 14:00:00
O00204,ORD004S2,2026-06-13 10:00:00,S2,SKU008,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00205,ORD004S2,2026-06-13 10:00:00,S2,SKU012,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00206,ORD004S2,2026-06-13 10:00:00,S2,SKU017,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00207,ORD004S2,2026-06-13 10:00:00,S2,SKU018,3,2026-06-13 18:00:00,2026-06-13 14:00:00
O00208,ORD004S2,2026-06-13 10:00:00,S2,SKU025,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00209,ORD004S2,2026-06-13 10:00:00,S2,SKU028,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00210,ORD004S3,2026-06-13 10:00:00,S3,SKU004,3,2026-06-13 18:00:00,2026-06-13 14:00:00
O00211,ORD004S3,2026-06-13 10:00:00,S3,SKU005,8,2026-06-13 18:00:00,2026-06-13 14:00:00
O00212,ORD004S3,2026-06-13 10:00:00,S3,SKU006,6,2026-06-13 18:00:00,2026-06-13 14:00:00
O00213,ORD004S3,2026-06-13 10:00:00,S3,SKU007,2,2026-06-13 18:00:00,2026-06-13 14:00:00
O00214,ORD004S3,2026-06-13 10:00:00,S3,SKU017,3,2026-06-13 18:00:00,2026-06-13 14:00:00
O00215,ORD004S3,2026-06-13 10:00:00,S3,SKU018,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00216,ORD004S3,2026-06-13 10:00:00,S3,SKU024,2,2026-06-13 18:00:00,2026-06-13 14:00:00
O00217,ORD004S3,2026-06-13 10:00:00,S3,SKU026,8,2026-06-13 18:00:00,2026-06-13 14:00:00
O00218,ORD004S3,2026-06-13 10:00:00,S3,SKU027,3,2026-06-13 18:00:00,2026-06-13 14:00:00
O00219,ORD004S4,2026-06-13 10:00:00,S4,SKU004,9,2026-06-13 18:00:00,2026-06-13 14:00:00
O00220,ORD004S4,2026-06-13 10:00:00,S4,SKU005,9,2026-06-13 18:00:00,2026-06-13 14:00:00
O00221,ORD004S4,2026-06-13 10:00:00,S4,SKU006,7,2026-06-13 18:00:00,2026-06-13 14:00:00
O00222,ORD004S4,2026-06-13 10:00:00,S4,SKU015,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00223,ORD004S4,2026-06-13 10:00:00,S4,SKU020,9,2026-06-13 18:00:00,2026-06-13 14:00:00
O00224,ORD004S4,2026-06-13 10:00:00,S4,SKU022,2,2026-06-13 18:00:00,2026-06-13 14:00:00
O00225,ORD004S4,2026-06-13 10:00:00,S4,SKU023,9,2026-06-13 18:00:00,2026-06-13 14:00:00
O00226,ORD004S4,2026-06-13 10:00:00,S4,SKU024,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00227,ORD004S4,2026-06-13 10:00:00,S4,SKU025,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00228,ORD004S4,2026-06-13 10:00:00,S4,SKU027,4,2026-06-13 18:00:00,2026-06-13 14:00:00
O00229,ORD004S5,2026-06-13 10:00:00,S5,SKU001,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00230,ORD004S5,2026-06-13 10:00:00,S5,SKU003,5,2026-06-13 18:00:00,2026-06-13 14:00:00
O00231,ORD004S5,2026-06-13 10:00:00,S5,SKU004,5,2026-06-13 18:00:00,2026-06-13 14:00:00
