receipt_id,receipt_date,purchase_order,supplier_id,sku,batch_id,expected_qty,received_qty,document_complete,acceptance_status
R0073,2026-07-07,PO0073,SUP2,SKU014,B0103,69,69,YES,ACCEPTED
R0074,2026-07-07,PO0074,SUP2,SKU016,B0104,60,60,YES,ACCEPTED
R0075,2026-07-07,PO0075,SUP3,SKU021,B0105,90,90,YES,ACCEPTED
R0076,2026-07-07,PO0076,SUP3,SKU022,B0106,63,63,YES,ACCEPTED
R0077,2026-07-07,PO0077,SUP3,SKU024,B0107,92,92,YES,ACCEPTED
R0078,2026-07-07,PO0078,SUP3,SKU027,B0108,62,62,YES,ACCEPTED
R0079,2026-07-14,PO0079,SUP1,SKU002,B0109,98,98,YES,ACCEPTED
R0080,2026-07-14,PO0080,SUP1,SKU003,B0110,67,67,YES,ACCEPTED
R0081,2026-07-14,PO0081,SUP1,SKU004,B0111,87,87,YES,ACCEPTED
R0082,2026-07-14,PO0082,SUP1,SKU005,B0112,93,93,YES,ACCEPTED
R0083,2026-07-14,PO0083,SUP1,SKU006,B0113,78,78,YES,ACCEPTED
R0084,2026-07-14,PO0084,SUP1,SKU007,B0114,64,64,YES,ACCEPTED
R0085,2026-07-14,PO0085,SUP2,SKU013,B0115,74,74,YES,ACCEPTED
R0086,2026-07-14,PO0086,SUP2,SKU015,B0116,79,77,YES,ACCEPTED
R0087,2026-07-14,PO0087,SUP2,SKU018,B0117,76,76,YES,ACCEPTED
R0088,2026-07-14,PO0088,SUP2,SKU019,B0118,69,69,YES,ACCEPTED
R0089,2026-07-14,PO0089,SUP3,SKU022,B0119,92,92,YES,ACCEPTED
R0090,2026-07-14,PO0090,SUP3,SKU023,B0120,83,83,YES,ACCEPTED
R0091,2026-07-14,PO0091,SUP3,SKU028,B0121,70,70,YES,ACCEPTED
R0092,2026-07-21,PO0092,SUP1,SKU002,B0122,85,85,YES,ACCEPTED
R0093,2026-07-21,PO0093,SUP1,SKU003,B0123,99,99,YES,ACCEPTED
R0094,2026-07-21,PO0094,SUP1,SKU004,B0124,77,77,YES,ACCEPTED
R0095,2026-07-21,PO0095,SUP1,SKU005,B0125,65,65,YES,ACCEPTED
R0096,2026-07-21,PO0096,SUP1,SKU006,B0126,93,93,YES,ACCEPTED
R0097,2026-07-21,PO0097,SUP1,SKU007,B0127,91,91,YES,ACCEPTED
R0098,2026-07-21,PO0098,SUP1,SKU008,B0128,88,88,YES,ACCEPTED
R0099,2026-07-21,PO0099,SUP1,SKU009,B0129,83,83,YES,ACCEPTED
R0100,2026-07-21,PO0100,SUP2,SKU011,B0130,85,85,YES,ACCEPTED
R0101,2026-07-21,PO0101,SUP2,SKU016,B0131,97,97,YES,ACCEPTED
R0102,2026-07-21,PO0102,SUP2,SKU017,B0132,98,98,YES,ACCEPTED
R0103,2026-07-21,PO0103,SUP2,SKU020,B0133,95,93,YES,ACCEPTED
R0104,2026-07-21,PO0104,SUP3,SKU024,B0134,84,84,YES,ACCEPTED
R0105,2026-07-21,PO0105,SUP3,SKU025,B0135,62,62,YES,ACCEPTED
R0106,2026-07-21,PO0106,SUP3,SKU026,B0136,93,93,YES,ACCEPTED
R0107,2026-07-21,PO0107,SUP3,SKU027,B0137,70,70,YES,ACCEPTED
R0108,2026-07-28,PO0108,SUP1,SKU002,B0138,60,60,YES,ACCEPTED
R0109,2026-07-28,PO0109,SUP1,SKU003,B0139,72,72,YES,ACCEPTED
R0110,2026-07-28,PO0110,SUP1,SKU004,B0140,79,79,YES,ACCEPTED
R0111,2026-07-28,PO0111,SUP1,SKU005,B0141,87,87,YES,ACCEPTED
R0112,2026-07-28,PO0112,SUP1,SKU006,B0142,83,83,YES,ACCEPTED
R0113,2026-07-28,PO0113,SUP2,SKU012,B0143,69,69,YES,ACCEPTED
R0114,2026-07-28,PO0114,SUP2,SKU013,B0144,71,71,YES,ACCEPTED
R0115,2026-07-28,PO0115,SUP2,SKU014,B0145,86,86,YES,ACCEPTED
R0116,2026-07-28,PO0116,SUP2,SKU015,B0146,63,63,YES,ACCEPTED
R0117,2026-07-28,PO0117,SUP2,SKU019,B0147,85,85,YES,ACCEPTED
R0118,2026-07-28,PO0118,SUP3,SKU021,B0148,60,60,YES,ACCEPTED
R0119,2026-07-28,PO0119,SUP3,SKU023,B0149,81,81,YES,ACCEPTED
R0120,2026-07-28,PO0120,SUP3,SKU027,B0150,76,74,YES,ACCEPTED
R0121,2026-07-28,PO0121,SUP3,SKU028,B0151,86,86,YES,ACCEPTED
R0122,2026-08-04,PO0122,SUP1,SKU001,B0152,88,88,YES,ACCEPTED
R0123,2026-08-04,PO0123,SUP1,SKU002,B0153,90,90,YES,ACCEPTED
R0124,2026-08-04,PO0124,SUP1,SKU003,B0154,68,68,YES,ACCEPTED
R0125,2026-08-04,PO0125,SUP1,SKU004,B0155,84,84,YES,ACCEPTED
R0126,2026-08-04,PO0126,SUP1,SKU005,B0156,74,74,YES,ACCEPTED
R0127,2026-08-04,PO0127,SUP1,SKU006,B0157,65,65,YES,ACCEPTED
R0128,2026-08-04,PO0128,SUP1,SKU009,B0158,78,78,YES,ACCEPTED
R0129,2026-08-04,PO0129,SUP2,SKU011,B0159,85,85,YES,ACCEPTED
R0130,2026-08-04,PO0130,SUP2,SKU015,B0160,100,100,YES,ACCEPTED
R0131,2026-08-04,PO0131,SUP3,SKU021,B0161,97,97,YES,ACCEPTED
R0132,2026-08-04,PO0132,SUP3,SKU022,B0162,68,68,YES,ACCEPTED
R0133,2026-08-11,PO0133,SUP1,SKU001,B0163,87,87,YES,ACCEPTED
R0134,2026-08-11,PO0134,SUP1,SKU002,B0164,71,71,YES,ACCEPTED
R0135,2026-08-11,PO0135,SUP1,SKU003,B0165,93,93,YES,ACCEPTED
R0136,2026-08-11,PO0136,SUP1,SKU004,B0166,62,62,YES,ACCEPTED
R0137,2026-08-11,PO0137,SUP1,SKU005,B0167,82,80,YES,ACCEPTED
R0138,2026-08-11,PO0138,SUP1,SKU006,B0168,96,96,YES,ACCEPTED
R0139,2026-08-11,PO0139,SUP1,SKU008,B0169,77,77,YES,ACCEPTED
R0140,2026-08-11,PO0140,SUP1,SKU010,B0170,71,71,YES,ACCEPTED
R0141,2026-08-11,PO0141,SUP2,SKU012,B0171,84,84,YES,ACCEPTED
R0142,2026-08-11,PO0142,SUP2,SKU013,B0172,93,93,YES,ACCEPTED
R0143,2026-08-11,PO0143,SUP2,SKU016,B0173,72,72,YES,ACCEPTED
R0144,2026-08-11,PO0144,SUP2,SKU017,B0174,68,68,YES,ACCEPTED
R0145,2026-08-11,PO0145,SUP2,SKU018,B0175,64,64,YES,ACCEPTED
R0146,2026-08-11,PO0146,SUP2,SKU019,B0176,67,67,YES,ACCEPTED
R0147,2026-08-11,PO0147,SUP2,SKU020,B0177,99,99,YES,ACCEPTED
R0148,2026-08-11,PO0148,SUP3,SKU023,B0178,79,79,YES,ACCEPTED
R0149,2026-08-11,PO0149,SUP3,SKU024,B0179,81,81,YES,ACCEPTED
R0150,2026-08-11,PO0150,SUP3,SKU025,B0180,65,65,YES,ACCEPTED
R0151,2026-08-11,PO0151,SUP3,SKU026,B0181,86,86,YES,ACCEPTED
R0152,2026-08-18,PO0152,SUP1,SKU001,B0182,83,83,YES,ACCEPTED
R0153,2026-08-18,PO0153,SUP1,SKU002,B0183,95,95,YES,ACCEPTED
R0154,2026-08-18,PO0154,SUP1,SKU003,B0184,85,83,YES,ACCEPTED
R0155,2026-08-18,PO0155,SUP1,SKU004,B0185,60,60,YES,ACCEPTED
R0156,2026-08-18,PO0156,SUP1,SKU005,B0186,81,81,YES,ACCEPTED
R0157,2026-08-18,PO0157,SUP1,SKU006,B0187,66,66,YES,ACCEPTED
R0158,2026-08-18,PO0158,SUP1,SKU007,B0188,71,71,YES,ACCEPTED
R0159,2026-08-18,PO0159,SUP1,SKU009,B0189,94,94,YES,ACCEPTED
R0160,2026-08-18,PO0160,SUP2,SKU014,B0190,79,79,YES,ACCEPTED
R0161,2026-08-18,PO0161,SUP3,SKU022,B0191,80,80,YES,ACCEPTED
R0162,2026-08-18,PO0162,SUP3,SKU027,B0192,87,87,YES,ACCEPTED
R0163,2026-08-18,PO0163,SUP3,SKU028,B0193,66,66,YES,ACCEPTED
R0164,2026-08-25,PO0164,SUP1,SKU001,B0194,90,90,YES,ACCEPTED
R0165,2026-08-25,PO0165,SUP1,SKU003,B0195,73,73,YES,ACCEPTED
R0166,2026-08-25,PO0166,SUP1,SKU004,B0196,69,69,YES,ACCEPTED
R0167,2026-08-25,PO0167,SUP1,SKU005,B0197,75,75,YES,ACCEPTED
R0168,2026-08-25,PO0168,SUP1,SKU006,B0198,96,96,YES,ACCEPTED
R0169,2026-08-25,PO0169,SUP2,SKU011,B0199,88,88,YES,ACCEPTED
R0170,2026-08-25,PO0170,SUP2,SKU015,B0200,63,63,YES,ACCEPTED
R0171,2026-08-25,PO0171,SUP2,SKU017,B0201,67,65,YES,ACCEPTED
R0172,2026-08-25,PO0172,SUP2,SKU018,B0202,87,87,YES,ACCEPTED
R0173,2026-08-25,PO0173,SUP2,SKU019,B0203,68,68,YES,ACCEPTED
R0174,2026-08-25,PO0174,SUP3,SKU021,B0204,69,69,YES,ACCEPTED
R0175,2026-08-25,PO0175,SUP3,SKU022,B0205,94,94,YES,ACCEPTED
R0176,2026-08-25,PO0176,SUP3,SKU023,B0206,87,87,YES,ACCEPTED
R0177,2026-08-25,PO0177,SUP3,SKU025,B0207,61,61,YES,ACCEPTED
R0178,2026-09-01,PO0178,SUP1,SKU001,B0208,72,72,YES,ACCEPTED
R0179,2026-09-01,PO0179,SUP1,SKU002,B0209,86,86,YES,ACCEPTED
R0180,2026-09-01,PO0180,SUP1,SKU003,B0210,70,70,YES,ACCEPTED
R0181,2026-09-01,PO0181,SUP1,SKU004,B0211,74,74,YES,ACCEPTED
R0182,2026-09-01,PO0182,SUP1,SKU005,B0212,63,63,YES,ACCEPTED
R0183,2026-09-01,PO0183,SUP1,SKU006,B0213,93,93,YES,ACCEPTED
R0184,2026-09-01,PO0184,SUP1,SKU007,B0214,71,71,YES,ACCEPTED
R0185,2026-09-01,PO0185,SUP1,SKU008,B0215,68,68,YES,ACCEPTED
R0186,2026-09-01,PO0186,SUP1,SKU009,B0216,67,67,YES,ACCEPTED
R0187,2026-09-01,PO0187,SUP2,SKU012,B0217,89,89,YES,ACCEPTED
R0188,2026-09-01,PO0188,SUP2,SKU013,B0218,67,65,YES,ACCEPTED
R0189,2026-09-01,PO0189,SUP2,SKU014,B0219,75,75,YES,ACCEPTED
R0190,2026-09-01,PO0190,SUP2,SKU016,B0220,68,68,YES,ACCEPTED
R0191,2026-09-01,PO0191,SUP3,SKU025,B0221,100,100,YES,ACCEPTED
R0192,2026-09-01,PO0192,SUP3,SKU026,B0222,61,61,YES,ACCEPTED
R0193,2026-09-01,PO0193,SUP3,SKU027,B0223,69,69,YES,ACCEPTED
R0194,2026-09-01,PO0194,SUP3,SKU028,B0224,66,66,YES,ACCEPTED
