count_line_id,count_time,sku,batch_id,location_id,book_qty_snapshot,first_count_qty,recount_qty,investigation_status
C0172,2026-09-06 20:00:00,SKU005,B0197,L005,13,13,13,MATCHED
C0173,2026-09-06 20:00:00,SKU011,B0199,L011,88,88,88,MATCHED
C0174,2026-09-06 20:00:00,SKU017,B0201,L017,17,17,17,MATCHED
C0175,2026-09-06 20:00:00,SKU018,B0202,L018,43,43,43,MATCHED
C0176,2026-09-06 20:00:00,SKU019,B0203,L019,68,68,68,MATCHED
C0177,2026-09-06 20:00:00,SKU021,B0204,L021,69,67,67,OPEN
C0178,2026-09-06 20:00:00,SKU022,B0205,L022,94,94,94,MATCHED
C0179,2026-09-06 20:00:00,SKU023,B0206,L023,87,87,87,MATCHED
C0180,2026-09-06 20:00:00,SKU025,B0207,L025,60,60,60,MATCHED
C0181,2026-09-06 20:00:00,SKU001,B0208,L001,2,2,2,MATCHED
C0182,2026-09-06 20:00:00,SKU003,B0210,L003,3,3,3,MATCHED
C0183,2026-09-06 20:00:00,SKU004,B0211,L004,17,17,17,MATCHED
C0184,2026-09-06 20:00:00,SKU005,B0212,L005,21,21,21,MATCHED
C0185,2026-09-06 20:00:00,SKU006,B0213,L006,39,39,39,MATCHED
C0186,2026-09-06 20:00:00,SKU007,B0214,L007,44,44,44,MATCHED
C0187,2026-09-06 20:00:00,SKU008,B0215,L008,68,68,68,MATCHED
C0188,2026-09-06 20:00:00,SKU009,B0216,L009,67,65,65,OPEN
C0189,2026-09-06 20:00:00,SKU012,B0217,L012,89,89,89,MATCHED
C0190,2026-09-06 20:00:00,SKU013,B0218,L013,38,38,38,MATCHED
C0191,2026-09-06 20:00:00,SKU014,B0219,L014,62,62,62,MATCHED
C0192,2026-09-06 20:00:00,SKU016,B0220,L016,37,37,37,MATCHED
C0193,2026-09-06 20:00:00,SKU025,B0221,L025,100,100,100,MATCHED
C0194,2026-09-06 20:00:00,SKU026,B0222,L026,61,61,61,MATCHED
C0195,2026-09-06 20:00:00,SKU027,B0223,L027,69,69,69,MATCHED
C0196,2026-09-06 20:00:00,SKU028,B0224,L028,66,66,66,MATCHED
